#Timestamp	T0 - GPD IFplate (C)	T1 - GPD drift (C)	T2 - GPD mech (C)	T3 - Tank TC (C)	T4 - GTC TF Outlet (C)	T5 - AC TF Outlet (C)	T6 - Ambient (C)	T7 - Tank PT100 (C)	TJulaboInternal (C)	P0 - Setra AC (mbar)	P1 - Setra Filling (mbar)	P2 - Omega AC (mbar)	P3 - Omega GTC (mbar)	PressFullrange (mbar)	P4 - MKS AC (mbar)	P5 - MKS GPD (mbar)
2024-02-09 16:12:19.997	12.12	12.12	11.71	20.96	11.25	11.08	22.52	20.62	 9.98	 874	 902	1163	 993	3.080E-2	1169	1003
2024-02-09 16:12:24.997	12.10	12.10	11.70	20.94	11.28	11.08	22.47	20.63	 9.98	 874	 902	1163	 993	3.090E-2	1169	1003
2024-02-09 16:12:29.997	12.10	12.10	11.69	21.01	11.27	11.10	22.43	20.63	10.00	 874	 902	1164	 993	3.060E-2	1169	1003
2024-02-09 16:12:34.997	12.10	12.08	11.70	21.11	11.27	11.10	22.47	20.67	10.01	 874	 902	1164	 993	3.090E-2	1169	1003
2024-02-09 16:12:39.997	12.13	12.04	11.67	21.32	11.25	11.09	22.47	20.64	10.01	 874	 902	1164	 992	3.070E-2	1169	1003
2024-02-09 16:12:44.997	12.11	12.08	11.68	21.39	11.25	11.09	22.50	20.63	10.01	 874	 902	1164	 992	3.070E-2	1169	1003
2024-02-09 16:12:49.999	12.09	12.07	11.69	21.39	11.25	11.07	22.50	20.65	10.01	 874	 902	1164	 992	3.080E-2	1169	1003
2024-02-09 16:12:54.999	12.07	12.12	11.67	21.36	11.29	11.08	22.47	20.63	10.01	 874	 902	1163	 992	3.090E-2	1169	1003
2024-02-09 16:13:00.001	12.06	12.14	11.70	21.25	11.28	11.08	22.46	20.60	10.02	 874	 902	1163	 992	3.080E-2	1169	1003
2024-02-09 16:13:05.001	12.09	12.08	11.72	21.13	11.26	11.08	22.43	20.62	10.02	 875	 902	1163	 992	3.080E-2	1169	1003
2024-02-09 16:13:10.001	12.11	12.12	11.72	21.14	11.26	11.09	22.46	20.60	10.01	 875	 902	1164	 991	3.090E-2	1169	1003
2024-02-09 16:13:15.001	12.08	12.10	11.75	21.26	11.27	11.10	22.45	20.61	10.01	 875	 902	1164	 991	3.080E-2	1169	1003
2024-02-09 16:13:20.001	12.08	12.11	11.75	21.24	11.29	11.12	22.45	20.62	10.01	 875	 902	1164	 991	3.080E-2	1169	1003
2024-02-09 16:13:25.001	12.10	12.12	11.73	21.19	11.32	11.12	22.45	20.63	10.01	 874	 902	1164	 991	3.070E-2	1169	1003
2024-02-09 16:13:30.001	12.11	12.09	11.71	21.45	11.34	11.10	22.47	20.63	10.01	 874	 902	1163	 991	3.090E-2	1169	1003
2024-02-09 16:13:35.001	12.15	12.08	11.72	21.40	11.33	11.10	22.47	20.63	10.02	 874	 902	1163	 991	3.080E-2	1169	1003
2024-02-09 16:13:40.002	12.17	12.06	11.71	21.24	11.34	11.08	22.47	20.63	10.01	 874	 902	1164	 991	3.070E-2	1169	1003
2024-02-09 16:13:45.001	12.18	12.07	11.72	21.36	11.29	11.09	22.50	20.61	10.01	 874	 902	1163	 992	3.070E-2	1169	1003
2024-02-09 16:13:50.002	12.18	12.09	11.76	21.06	11.29	11.11	22.48	20.67	10.00	 874	 902	1163	 992	3.070E-2	1169	1003
2024-02-09 16:13:55.002	12.15	12.10	11.74	20.89	11.28	11.10	22.50	20.65	10.01	 874	 902	1163	 992	3.090E-2	1169	1003
2024-02-09 16:14:00.002	12.17	12.10	11.75	21.05	11.27	11.10	22.52	20.66	10.00	 874	 902	1163	 992	3.070E-2	1169	1003
2024-02-09 16:14:05.002	12.11	12.07	11.72	21.06	11.29	11.08	22.49	20.67	10.01	 874	 903	1163	 991	3.070E-2	1169	1003
2024-02-09 16:14:10.002	12.08	12.08	11.72	21.20	11.28	11.07	22.49	20.62	10.01	 874	 902	1163	 991	3.070E-2	1169	1003
2024-02-09 16:14:15.002	12.06	12.06	11.73	21.27	11.27	11.08	22.49	20.63	10.01	 874	 902	1163	 992	3.070E-2	1169	1003
2024-02-09 16:14:20.002	12.03	12.07	11.71	21.25	11.28	11.09	22.47	20.63	10.00	 874	 902	1163	 992	3.070E-2	1169	1003
2024-02-09 16:14:25.003	12.07	12.11	11.73	21.35	11.30	11.06	22.48	20.63	 9.99	 874	 902	1164	 991	3.080E-2	1169	1003
2024-02-09 16:14:30.004	12.12	12.14	11.76	21.22	11.33	11.06	22.46	20.64	 9.99	 874	 902	1165	 991	3.070E-2	1169	1003
