# t [days]   T_Julabo [°C]   T2 [°C]    T5 [°C]    T6 [°C]  P4 [mbar]   P5 [mbar]
0.0   22  22.16    22.62    22.09    1201.0     745.0
0.4792569983587514   22  22.33    22.69    22.63    1199.9     740.1
1.4376944314779312   22  22.51    22.70    22.71    1198.6     674.1
2.3961323628079034   22  22.33    22.70    22.73    1197.6     0.0
3.344830975002334   22  22.61    22.75    23.38    1197.8     602.3
3.604018188480379   22  22.52    22.69    23.08    1197.4     650.0
3.795723165120471   22  22.29    22.66    22.36    1196.3     410.7
3.9948930157918623   22  22.09    22.05    22.14    1195.3     363.3
4.535634384247901   22  22.28    22.69    22.69    1196.2     1.2
5.492979367657697   22  22.30    22.69    22.68    1195.7     0.0
6.483144500215782   22  22.31    22.69    22.71    1195.3     0.0
